id,pose_name,type_of_practice,variation,position,difficulty,props_required,body_focus,benefits,synonyms,instructions,context
7ce8c60e,Downward Dog,Yin,Twisted,Mixed,Intermediate,Chair,Flexibility,Builds strength,"Downward Dog Alternative, Downward Dog Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for flexibility and is often practiced in yin sessions.",Best used in Downward Dog sequences or routines focusing on flexibility.
81650e9f,Eagle Pose,Yin,Reclining,Standing,Beginner,Not Required,Balance,Improves balance,"Eagle Pose Alternative, Eagle Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for balance and is often practiced in yin sessions.",Best used in Eagle Pose sequences or routines focusing on flexibility.
2217a7ac,Upward Dog,Restorative,No Variation,Mixed,Intermediate,Blanket,Core,Improves posture,"Upward Dog Alternative, Upward Dog Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for core and is often practiced in restorative sessions.",Best used in Upward Dog sequences or routines focusing on flexibility.
988e61a6,Triangle Pose,Vinyasa,Seated,Lying Down,Intermediate,Block,Core,Increases energy,"Triangle Pose Alternative, Triangle Pose Variation","Kneel on the mat, then sit back on your heels. Stretch your arms forward, lowering your chest to the mat. Breathe deeply as you relax into the pose. This pose is ideal for core and is often practiced in vinyasa sessions.",Best used in Triangle Pose sequences or routines focusing on flexibility.
bd927dc7,Downward Dog,Ashtanga,With Block,Lying Down,Beginner,Chair,Back,Builds strength,"Downward Dog Alternative, Downward Dog Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for back and is often practiced in ashtanga sessions.",Best used in Downward Dog sequences or routines focusing on flexibility.
ace0c8a8,Child's Pose,Power,No Variation,Mixed,Intermediate,Blanket,Flexibility,Increases energy,"Child's Pose Alternative, Child's Pose Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for flexibility and is often practiced in power sessions.",Best used in Child's Pose sequences or routines focusing on flexibility.
61b89f6a,Child's Pose,Vinyasa,With Bolster,Mixed,Beginner,Strap,Flexibility,Builds strength,"Child's Pose Alternative, Child's Pose Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for flexibility and is often practiced in vinyasa sessions.",Best used in Child's Pose sequences or routines focusing on flexibility.
5dadce83,Warrior I,Restorative,With Strap,Standing,Advanced,Blanket,Balance,Relieves stress,"Warrior I Alternative, Warrior I Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for balance and is often practiced in restorative sessions.",Best used in Warrior I sequences or routines focusing on flexibility.
7e91cc78,Fish Pose,Vinyasa,Seated,Mixed,Intermediate,Strap,Back,Builds strength,"Fish Pose Alternative, Fish Pose Variation","Kneel on the mat, then sit back on your heels. Stretch your arms forward, lowering your chest to the mat. Breathe deeply as you relax into the pose. This pose is ideal for back and is often practiced in vinyasa sessions.",Best used in Fish Pose sequences or routines focusing on flexibility.
f1229369,Bridge Pose,Power,No Variation,Lying Down,Intermediate,Not Required,Balance,Improves balance,"Bridge Pose Alternative, Bridge Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for balance and is often practiced in power sessions.",Best used in Bridge Pose sequences or routines focusing on flexibility.
0440c3ef,Chair Pose,Ashtanga,With Chair,Mixed,Beginner,Chair,Back,Builds strength,"Chair Pose Alternative, Chair Pose Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for back and is often practiced in ashtanga sessions.",Best used in Chair Pose sequences or routines focusing on flexibility.
e7814a4d,Low Lunge,Yin,With Block,Lying Down,Intermediate,Not Required,Flexibility,Improves posture,"Low Lunge Alternative, Low Lunge Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for flexibility and is often practiced in yin sessions.",Best used in Low Lunge sequences or routines focusing on flexibility.
84482f9d,Warrior I,Restorative,With Block,Lying Down,Advanced,Chair,Back,Relieves stress,"Warrior I Alternative, Warrior I Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for back and is often practiced in restorative sessions.",Best used in Warrior I sequences or routines focusing on flexibility.
1cbe3074,Cobra Pose,Ashtanga,No Variation,Mixed,Beginner,Not Required,Flexibility,Improves balance,"Cobra Pose Alternative, Cobra Pose Variation","Kneel on the mat, then sit back on your heels. Stretch your arms forward, lowering your chest to the mat. Breathe deeply as you relax into the pose. This pose is ideal for flexibility and is often practiced in ashtanga sessions.",Best used in Cobra Pose sequences or routines focusing on flexibility.
