id,pose_name,type_of_practice,props_required,body_focus,pose_category,benefits,instructions
1,Low Lunge,Vinyasa,Block,Core,Inversion,Increases energy,"Lie flat on your back, arms at your sides, close your eyes and relax."
2,Crow Pose,Restorative,Bolster,Flexibility,Supine,Opens hips,"Kneel on the mat, sit back on heels, and stretch arms forward."
3,Child's Pose,Vinyasa,Block,Balance,Seated,Increases energy,"Lie on back, bend knees, lift hips toward the ceiling."
4,Camel Pose,Yin,None,Balance,Supine,Relieves stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
5,Half Pigeon Pose,Restorative,Strap,Flexibility,Supine,Increases energy,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
6,Cobra Pose,Vinyasa,Bolster,Strength,Seated,Opens hips,"Start in a push-up position, keep the body in a straight line from head to heels."
7,Downward Facing Dog,Yin,Bolster,Balance,Supine,Stretches hamstrings,"Start on hands and knees, lift hips up, forming an inverted V-shape."
8,Crow Pose,Vinyasa,Strap,Chest,Seated,Improves posture,"Lie on back, bend knees, lift hips toward the ceiling."
9,Camel Pose,Vinyasa,Bolster,Core,Standing,Strengthens core,"Kneel on the mat, arch back, place hands on heels, and lift chest."
10,Cobra Pose,Ashtanga,None,Balance,Balancing,Calms the mind,"Lie flat on your back, arms at your sides, close your eyes and relax."
11,Cat-Cow Pose,Vinyasa,Mat,Lower Body,Inversion,Stretches hamstrings,"Lie on back, bend knees, lift hips toward the ceiling."
12,Seated Forward Bend,Yin,Strap,Balance,Supine,Reduces stress,"Lie on back, bend knees, lift hips toward the ceiling."
13,Half Pigeon Pose,Yin,Strap,Balance,Supine,Strengthens arms,"Lie flat on your back, arms at your sides, close your eyes and relax."
14,Mountain Pose,Vinyasa,Mat,Flexibility,Inversion,Opens hips,"Lie on back, bend knees, lift hips toward the ceiling."
15,Warrior II,Hatha,Strap,Hips,Supine,Calms the mind,"From a plank position, bring one knee forward and extend the opposite leg back."
16,Crow Pose,Restorative,Strap,Hips,Seated,Strengthens core,"Kneel on the mat, sit back on heels, and stretch arms forward."
17,Child's Pose,Restorative,Bolster,Chest,Supine,Increases energy,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
18,Hero Pose,Hatha,Bolster,Strength,Backbend,Improves posture,"Kneel on the mat, sit back on heels, and stretch arms forward."
19,Cobra Pose,Yin,Bolster,Strength,Inversion,Opens hips,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
20,Mountain Pose,Vinyasa,Bolster,Flexibility,Supine,Increases energy,"Start in a push-up position, keep the body in a straight line from head to heels."
21,Bow Pose,Hatha,Block,Back,Standing,Improves posture,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
22,Half Pigeon Pose,Vinyasa,Bolster,Strength,Balancing,Increases energy,"Start on hands and knees, lift hips up, forming an inverted V-shape."
23,Chair Pose,Yin,Strap,Balance,Backbend,Improves posture,"Lie flat on your back, arms at your sides, close your eyes and relax."
24,Cat-Cow Pose,Vinyasa,Block,Upper Body,Inversion,Reduces stress,"From a plank position, bring one knee forward and extend the opposite leg back."
25,Downward Facing Dog,Hatha,Strap,Core,Supine,Opens hips,"Kneel on the mat, sit back on heels, and stretch arms forward."
26,Bridge Pose,Ashtanga,Strap,Hips,Backbend,Improves posture,"Lie flat on your back, arms at your sides, close your eyes and relax."
27,Camel Pose,Yin,Bolster,Flexibility,Backbend,Improves balance,"Start in a push-up position, keep the body in a straight line from head to heels."
28,Cat-Cow Pose,Restorative,Block,Core,Standing,Calms the mind,"Lie flat on your back, arms at your sides, close your eyes and relax."
29,Warrior II,Ashtanga,Block,Chest,Supine,Improves posture,"Kneel on the mat, sit back on heels, and stretch arms forward."
30,Seated Forward Bend,Restorative,Bolster,Upper Body,Supine,Reduces stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
31,Cat-Cow Pose,Hatha,None,Lower Body,Balancing,Strengthens core,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
32,Seated Forward Bend,Yin,Mat,Hips,Backbend,Increases energy,"Start in a push-up position, keep the body in a straight line from head to heels."
33,Low Lunge,Vinyasa,Bolster,Upper Body,Backbend,Relieves stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
